name,address,latitude,longitude,stars,price,quality,location,service,safety
Alexander Inn,301 S 12th St,39.946396818,-75.1609669488,4.5,$$,average quality,excellent location,good service,good safety
Chez Colette,120 S 17th St,39.9507208157,-75.1689343926,3.5,$$,average quality,good location,good service,average safety
Courtyard by Marriott Philadelphia South at The Navy Yard,1001 Intrepid Ave,39.895454514,-75.1717264504,4.0,$$,good quality,average location,good service,good safety
Fairfield Inn & Suites Philadelphia Downtown/Center City,261 South 13th Street,39.9468905,-75.1623589,3.5,$$,average quality,excellent location,good service,average safety
Fairfield Inn by Marriott Philadelphia Airport,8800 Bartram Ave,39.8868252585,-75.2476465702,3.0,$$,average quality,good location,good service,average safety
"Independence Park Hotel, Bw Premier Collection",235 Chestnut St,39.9486694089,-75.145468139,4.5,$$,good quality,excellent location,good service,good safety
Kimpton Hotel Palomar Philadelphia,117 S 17th St,39.9508293,-75.1686289,4.0,$$$,good quality,excellent location,good service,good safety
Leneghan's Crusader Inn,7412 Frankford Ave,40.0382627,-75.0376145,5.0,$,average quality,average location,good service,average safety
Lokal Hotel,139 N 3rd St,39.9532548,-75.14479,4.5,$$$,good quality,good location,good service,excellent safety
Penn's View Hotel,14 N Front St,39.950201,-75.142285,4.0,$$,good quality,excellent location,good service,good safety
Renaissance Philadelphia Downtown Hotel,401 Chestnut St,39.9490202,-75.1478095,3.0,$$,average quality,excellent location,good service,average safety
ROOST Apartment Hotel,111 S 15th St,39.9505683,-75.1657016,4.5,$$$,good quality,excellent location,good service,good safety
Sleep Inn Center City,1020 Cherry St,39.9546067076,-75.157443872,3.5,$,average quality,good location,good service,average safety
The Conwell Inn,1331 Pollet Walk,39.981812,-75.15764,3.5,$$,average quality,excellent location,good service,good safety
The Dwight D,256 S 16th St,39.9479893,-75.1682766,4.5,$$,good quality,excellent location,good service,excellent safety
The Franklin Residences,834 Chestnut St,39.9493831,-75.1551309,5.0,$$$,good quality,excellent location,excellent service,excellent safety
"The Inn at Penn, a Hilton Hotel",3600 Sansom St,39.9537829039,-75.1957815881,4.0,$$$,good quality,excellent location,good service,good safety
The Rittenhouse Hotel,210 W Rittenhouse Sq,39.9499125,-75.1736448,4.0,$$$,good quality,excellent location,good service,excellent safety
